Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
DR35 - Delete request - Delete request ,N1NJS1804-302,10641,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,17/Jul/24 3:48 PM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/Jul/24 3:47 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-084710.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10274,17/Jul/24 3:47 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-084723.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10273,,,,,,Thành công,,,,,,{},,N1NJS1804-2,Manage Request,,,Thành công,,,,,0|i001az:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: REquest list
2: delete request",Pass,,,,,10001,Manage Request,To Do,17/Jul/24 3:48 PM
UC26 - Delete request,N1NJS1804-301,10640,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,17/Jul/24 3:42 PM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-2,Manage Request,,,,,,,,0|i001b3:,,,,,Bussiness Flow,,,,,,,,,,,,,,,,10001,Manage Request,To Do,17/Jul/24 3:42 PM
MC35 - Create Complaint - Check create complaint,N1NJS1804-300,10639,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,17/Jul/24 2:41 PM,19/Jul/24 8:43 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-298,,,,,,,17/Jul/24 2:40 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-073732.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10268,17/Jul/24 2:40 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-073743.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10269,,,,,,"""Thành Công""",,,,,,{},,N1NJS1804-6,Manage Complaint ,,,"""Thành Công""",,,,,0|i0010b:,,,,,Bussiness Flow,,,,,,,,,Unit,"1:Choose 'Tố Cáo'
2: type complaint
3: submit",Pass,,,,,10005,Manage Complaint ,To Do,17/Jul/24 2:41 PM
MC35 - Create Complaint - Check create complaint,N1NJS1804-299,10638,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,17/Jul/24 2:38 PM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/Jul/24 2:37 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-073732.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10266,17/Jul/24 2:37 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-073743.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10267,,,,,,"""Thành Công""",,,,,,{},,N1NJS1804-6,Manage Complaint ,,,"""Thành Công""",,,,,0|i001av:,,,,,Bussiness Flow,,,,,,,,,Unit,"1:Choose 'Tố Cáo'
2: type complaint
3: submit",Pass,,,,,10005,Manage Complaint ,To Do,17/Jul/24 2:38 PM
UC21-Create Complaint,N1NJS1804-298,10637,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,17/Jul/24 2:35 PM,19/Jul/24 8:58 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,N1NJS1804-258,N1NJS1804-300,N1NJS1804-259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-6,Manage Complaint ,,,,,,,,0|i0019f:,,,,,Bussiness Flow,,,,,,,,,,,,,,,,10005,Manage Complaint ,To Do,17/Jul/24 2:35 PM
CF33 - Create Feedback - Check finish the session but not type review,N1NJS1804-297,10636,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,17/Jul/24 2:29 PM,19/Jul/24 9:36 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-125,,,,,,,17/Jul/24 2:28 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072811.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10265,17/Jul/24 2:28 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072825.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10264,,,,,,"""Đánh giá thành công""",,,,,,{},,N1NJS1804-4,Manage Services,,,"""Đánh giá thành công""",,,,,0|i001al:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: Press ""Hoàn thành lớp ""
2.Type review and rate",Pass,,,,,10003,Manage Services,To Do,17/Jul/24 2:29 PM
UC12 - Update Service,N1NJS1804-296,10635,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,17/Jul/24 10:01 AM,19/Jul/24 11:50 AM,19/Jul/24 9:41 PM,,,0,,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,N1NJS1804-294,N1NJS1804-292,N1NJS1804-293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-2,Manage Request,,,,,purple,,,0|i0018f:,,,,,Bussiness Flow,,,,,,,,,,,,,,,,10001,Manage Request,To Do,17/Jul/24 10:01 AM
UC08 - Update Profile's Tutor,N1NJS1804-295,10634,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,17/Jul/24 9:56 AM,19/Jul/24 11:49 AM,19/Jul/24 9:41 PM,,,0,,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,N1NJS1804-286,N1NJS1804-285,N1NJS1804-284,N1NJS1804-289,N1NJS1804-280,N1NJS1804-290,N1NJS1804-291,N1NJS1804-277,N1NJS1804-287,N1NJS1804-288,N1NJS1804-283,N1NJS1804-282,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-2,Manage Request,,,,,purple,,,0|i00187:,,,,,Bussiness Flow,,,,,,,,,,,,,,,,10001,Manage Request,To Do,17/Jul/24 9:56 AM
US44 - Update Service - Verify all of fields cannot be left blank,N1NJS1804-294,10633,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,17/Jul/24 9:50 AM,17/Jul/24 10:02 AM,19/Jul/24 9:41 PM,,,0,All of fields cannot be blank,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,,,,,,,,,,,,,N1NJS1804-296,,,,,,,17/Jul/24 9:54 AM;712020:a716a215-180f-41ff-98d2-f126f6fe9568;validate-dich-vu.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10258,,,,,,,The fields have displayed notifications,,,,,,{},,N1NJS1804-2,Manage Request,,,Display notifications for fields,,purple,,,0|i0017z:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: Select ""Dịch vụ bạn đã tạo""
Step 2: Click ""Cập nhật"" 
Step 3: Do not enter information in the fields
Step 4: Click ""Gửi""",Pass,,,,,10001,Manage Request,To Do,17/Jul/24 9:50 AM
US43 - Update Service - Update service successfully,N1NJS1804-293,10632,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,17/Jul/24 9:42 AM,17/Jul/24 10:02 AM,19/Jul/24 9:41 PM,,,0,Enter new information and submit successfully,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,,,,,,,,,,,,,N1NJS1804-296,,,,,,,17/Jul/24 9:49 AM;712020:a716a215-180f-41ff-98d2-f126f6fe9568;update-dich-vu-thanh-cong.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10257,,,,,,,"Message ""Cập nhật dịch vụ thành công"" is showed",,,,,,{},,N1NJS1804-2,Manage Request,,,"Show message ""Cập nhật dịch vụ thành công""",,purple,,,0|i0017r:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: Select ""Dịch vụ bạn đã tạo""
Step 2: Click ""Cập nhật"" 
Step 3: Enter correct information in the fields
Step 4: Click ""Gửi""",Pass,,,,,10001,Manage Request,To Do,17/Jul/24 9:42 AM
